index,image_path,predicted_class,confidence,margin,status,prob_Healthy,prob_Early_Blight,prob_Late_Blight,diagnosis_text
1,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Early_Blight_1.jpg,Early_Blight,0.999822,0.999729,confident,9.3e-05,0.999822,8.5e-05,诊断结果：这片叶子疑似患有早疫病。模型置信度为 99.98%，结果可信度很高。该结果通常对应叶面出现褐色坏死斑点或局部病斑扩展等症状。各类别概率分别为：健康 0.01%，早疫病 99.98%，晚疫病 0.01%。建议结合原始叶片图像进行人工复核，并继续观察病斑扩展情况。
2,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Early_Blight_2.jpg,Early_Blight,0.99879,0.997985,confident,0.000805,0.99879,0.000405,诊断结果：这片叶子疑似患有早疫病。模型置信度为 99.88%，结果可信度很高。该结果通常对应叶面出现褐色坏死斑点或局部病斑扩展等症状。各类别概率分别为：健康 0.08%，早疫病 99.88%，晚疫病 0.04%。建议结合原始叶片图像进行人工复核，并继续观察病斑扩展情况。
3,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Early_Blight_3.jpg,Early_Blight,0.999902,0.999832,confident,2.8e-05,0.999902,7e-05,诊断结果：这片叶子疑似患有早疫病。模型置信度为 99.99%，结果可信度很高。该结果通常对应叶面出现褐色坏死斑点或局部病斑扩展等症状。各类别概率分别为：健康 0.00%，早疫病 99.99%，晚疫病 0.01%。建议结合原始叶片图像进行人工复核，并继续观察病斑扩展情况。
4,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Early_Blight_4.jpg,Early_Blight,0.990204,0.980547,confident,0.009656,0.990204,0.00014,诊断结果：这片叶子疑似患有早疫病。模型置信度为 99.02%，结果可信度很高。该结果通常对应叶面出现褐色坏死斑点或局部病斑扩展等症状。各类别概率分别为：健康 0.97%，早疫病 99.02%，晚疫病 0.01%。建议结合原始叶片图像进行人工复核，并继续观察病斑扩展情况。
5,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Early_Blight_5.jpg,Early_Blight,0.999894,0.999817,confident,7.6e-05,0.999894,3e-05,诊断结果：这片叶子疑似患有早疫病。模型置信度为 99.99%，结果可信度很高。该结果通常对应叶面出现褐色坏死斑点或局部病斑扩展等症状。各类别概率分别为：健康 0.01%，早疫病 99.99%，晚疫病 0.00%。建议结合原始叶片图像进行人工复核，并继续观察病斑扩展情况。
6,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Early_Blight_6.jpg,Early_Blight,0.999834,0.999693,confident,2.6e-05,0.999834,0.00014,诊断结果：这片叶子疑似患有早疫病。模型置信度为 99.98%，结果可信度很高。该结果通常对应叶面出现褐色坏死斑点或局部病斑扩展等症状。各类别概率分别为：健康 0.00%，早疫病 99.98%，晚疫病 0.01%。建议结合原始叶片图像进行人工复核，并继续观察病斑扩展情况。
7,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Early_Blight_7.jpg,Early_Blight,0.998349,0.996739,confident,4e-05,0.998349,0.00161,诊断结果：这片叶子疑似患有早疫病。模型置信度为 99.83%，结果可信度很高。该结果通常对应叶面出现褐色坏死斑点或局部病斑扩展等症状。各类别概率分别为：健康 0.00%，早疫病 99.83%，晚疫病 0.16%。建议结合原始叶片图像进行人工复核，并继续观察病斑扩展情况。
8,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Early_Blight_8.jpg,Early_Blight,0.999915,0.999844,confident,1.3e-05,0.999915,7.1e-05,诊断结果：这片叶子疑似患有早疫病。模型置信度为 99.99%，结果可信度很高。该结果通常对应叶面出现褐色坏死斑点或局部病斑扩展等症状。各类别概率分别为：健康 0.00%，早疫病 99.99%，晚疫病 0.01%。建议结合原始叶片图像进行人工复核，并继续观察病斑扩展情况。
9,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Early_Blight_9.jpg,Early_Blight,0.999989,0.99998,confident,3e-06,0.999989,8e-06,诊断结果：这片叶子疑似患有早疫病。模型置信度为 100.00%，结果可信度很高。该结果通常对应叶面出现褐色坏死斑点或局部病斑扩展等症状。各类别概率分别为：健康 0.00%，早疫病 100.00%，晚疫病 0.00%。建议结合原始叶片图像进行人工复核，并继续观察病斑扩展情况。
10,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Healthy_1.jpg,Healthy,0.999747,0.9996,confident,0.999747,0.000147,0.000106,诊断结果：这片叶子判定为健康状态。模型置信度为 99.97%，结果可信度很高。当前未检测到明显的早疫病或晚疫病特征。各类别概率分别为：健康 99.97%，早疫病 0.01%，晚疫病 0.01%。建议继续保持观察，并结合后续图像采集进行周期性监测。
